institute,lesson_type,date,teacher_load,total_classes,teacher_name,group_name,discipline
ИЗО,Лабораторная,2025-10-06,1.6,9,Федоров И.И.,ИЭФ-33,История
ИМ,Лабораторная,2025-10-06,4.2,6,Петров П.П.,ИОМ-23,Менеджмент
ИГУиП,Лекция,2025-10-06,2.2,12,Козлова Е.Е.,ИМ-33,Программирование
ИМ,Лекция,2025-10-06,2.8,8,Новикова М.М.,ИОМ-22,Алгоритмы
ИОМ,Семинар,2025-10-06,4.3,14,Козлова Е.Е.,ИЭФ-31,Философия
ИЗО,Семинар,2025-10-06,4.4,6,Петров П.П.,ИОМ-21,Финансы
ИМ,Лабораторная,2025-10-06,4.3,13,Козлова Е.Е.,ИЭФ-42,Статистика
ИЭФ,Лекция,2025-10-06,3.3,9,Петров П.П.,ИЗО-42,Базы данных
ИИС,Семинар,2025-10-06,3.0,12,Сидорова А.А.,ИОМ-11,Менеджмент
ИЗО,Лабораторная,2025-10-06,3.2,13,Козлова Е.Е.,ИЭФ-43,Финансы
ИУПСиБК,Лабораторная,2025-10-06,3.7,17,Волков А.А.,ИИС-23,Дискретная математика
ИУПСиБК,Семинар,2025-10-06,3.4,12,Иванов И.И.,ИМ-43,Менеджмент
ИИС,Лекция,2025-10-06,2.2,6,Павлова О.О.,ИГУиП-41,Базы данных
ИМ,Лабораторная,2025-10-06,4.0,13,Волков А.А.,ИЭФ-11,Web-технологии
ИИС,Лабораторная,2025-10-06,1.9,14,Морозов Д.Д.,ИОМ-21,Иностранный язык
ИЭФ,Лекция,2025-10-06,3.7,11,Сидорова А.А.,ИОМ-22,История
ИЭФ,Семинар,2025-10-06,3.1,11,Волков А.А.,ИОМ-21,Экономика
ИМ,Семинар,2025-10-06,3.8,16,Волков А.А.,ИМ-23,История
ИМ,Лабораторная,2025-10-06,3.0,8,Федоров И.И.,ИИС-11,Программирование
ИМ,Лекция,2025-10-06,3.9,11,Соколов В.В.,ИЗО-22,Информационные системы
ИОМ,Лекция,2025-10-06,4.0,7,Иванов И.И.,ИМ-11,Базы данных
ИЭФ,Лабораторная,2025-10-13,3.5,19,Соколов В.В.,ИОМ-41,Экономика
ИИС,Лекция,2025-10-13,3.2,9,Павлова О.О.,ИИС-41,Компьютерные сети
ИЗО,Лекция,2025-10-13,3.8,15,Морозов Д.Д.,ИГУиП-23,Дискретная математика
ИГУиП,Лабораторная,2025-10-13,1.7,13,Петров П.П.,ИОМ-13,Бухгалтерский учет
ИЭФ,Лабораторная,2025-10-13,2.3,10,Морозов Д.Д.,ИУПСиБК-13,Web-технологии
ИУПСиБК,Семинар,2025-10-13,1.7,15,Федоров И.И.,ИУПСиБК-13,Базы данных
ИЭФ,Лекция,2025-10-13,3.6,11,Федоров И.И.,ИЗО-22,Операционные системы
ИЗО,Лабораторная,2025-10-13,3.8,6,Иванов И.И.,ИИС-31,Web-технологии
ИГУиП,Семинар,2025-10-13,4.2,19,Морозов Д.Д.,ИЗО-12,Алгоритмы
ИУПСиБК,Лабораторная,2025-10-13,3.7,9,Морозов Д.Д.,ИЗО-31,Иностранный язык
ИМ,Лабораторная,2025-10-13,2.9,6,Соколов В.В.,ИЗО-22,Иностранный язык
ИЭФ,Лабораторная,2025-10-13,4.4,8,Морозов Д.Д.,ИУПСиБК-21,История
ИЭФ,Лекция,2025-10-13,4.3,6,Петров П.П.,ИГУиП-43,Философия
ИИС,Семинар,2025-10-13,2.2,8,Соколов В.В.,ИГУиП-11,Математический анализ
ИОМ,Лекция,2025-10-13,2.1,18,Иванов И.И.,ИУПСиБК-11,История
ИМ,Семинар,2025-10-13,3.6,18,Козлова Е.Е.,ИГУиП-43,Дискретная математика
ИУПСиБК,Лабораторная,2025-10-13,3.3,13,Сидорова А.А.,ИОМ-23,Дискретная математика
ИИС,Лекция,2025-10-13,2.3,12,Козлова Е.Е.,ИУПСиБК-43,Бухгалтерский учет
ИУПСиБК,Лекция,2025-10-13,3.0,18,Петров П.П.,ИЗО-33,Статистика
ИОМ,Лекция,2025-10-13,4.2,15,Сидорова А.А.,ИУПСиБК-32,Менеджмент
ИУПСиБК,Лекция,2025-10-13,3.2,9,Волков А.А.,ИОМ-21,Менеджмент
ИОМ,Лабораторная,2025-10-13,3.7,17,Козлова Е.Е.,ИУПСиБК-31,Базы данных
ИОМ,Лекция,2025-10-13,2.9,6,Иванов И.И.,ИОМ-43,Экономика
ИГУиП,Лекция,2025-10-13,2.0,17,Павлова О.О.,ИГУиП-42,Алгоритмы
ИЭФ,Лабораторная,2025-10-13,2.8,6,Соколов В.В.,ИГУиП-12,Право
ИИС,Лабораторная,2025-10-13,2.4,18,Федоров И.И.,ИУПСиБК-31,Философия
ИГУиП,Лекция,2025-10-13,4.4,12,Иванов И.И.,ИУПСиБК-21,Компьютерные сети
ИЗО,Лабораторная,2025-10-13,1.6,14,Соколов В.В.,ИОМ-42,Статистика
ИОМ,Лекция,2025-10-13,3.0,7,Федоров И.И.,ИУПСиБК-12,Экономика
ИГУиП,Лабораторная,2025-10-13,1.8,18,Петров П.П.,ИЭФ-21,Алгоритмы
ИУПСиБК,Семинар,2025-10-20,2.9,11,Соколов В.В.,ИОМ-23,Статистика
ИИС,Лабораторная,2025-10-20,3.9,7,Федоров И.И.,ИУПСиБК-11,Программирование
ИГУиП,Лабораторная,2025-10-20,2.4,8,Иванов И.И.,ИОМ-11,Дискретная математика
ИЗО,Лабораторная,2025-10-20,3.8,14,Козлова Е.Е.,ИМ-12,Информационные системы
ИУПСиБК,Лекция,2025-10-20,2.9,8,Петров П.П.,ИУПСиБК-41,Философия
ИЭФ,Лабораторная,2025-10-20,3.1,6,Сидорова А.А.,ИИС-32,Экономика
ИЭФ,Лекция,2025-10-20,3.6,16,Федоров И.И.,ИМ-12,История
ИУПСиБК,Лабораторная,2025-10-20,4.4,6,Новикова М.М.,ИМ-13,Менеджмент
ИГУиП,Лекция,2025-10-20,4.1,13,Соколов В.В.,ИИС-31,Менеджмент
ИУПСиБК,Семинар,2025-10-20,1.9,8,Иванов И.И.,ИМ-12,Математический анализ
ИОМ,Семинар,2025-10-20,3.0,10,Волков А.А.,ИЗО-12,Иностранный язык
ИМ,Семинар,2025-10-20,4.4,6,Сидорова А.А.,ИМ-23,Операционные системы
ИМ,Лекция,2025-10-20,3.4,5,Козлова Е.Е.,ИОМ-31,Web-технологии
ИУПСиБК,Лекция,2025-10-20,2.3,19,Волков А.А.,ИГУиП-21,Математический анализ
ИЗО,Лекция,2025-10-20,2.7,15,Петров П.П.,ИОМ-23,Дискретная математика
ИОМ,Семинар,2025-10-20,4.2,16,Федоров И.И.,ИИС-13,Базы данных
ИЭФ,Семинар,2025-10-20,3.7,15,Сидорова А.А.,ИИС-42,Операционные системы
ИИС,Лабораторная,2025-10-20,2.8,5,Петров П.П.,ИИС-33,Экономика
ИМ,Лабораторная,2025-10-20,2.6,17,Козлова Е.Е.,ИМ-21,Компьютерные сети
ИЭФ,Лекция,2025-10-20,2.9,9,Морозов Д.Д.,ИОМ-13,Операционные системы
ИГУиП,Лабораторная,2025-10-20,2.5,16,Иванов И.И.,ИИС-11,Информационные системы
ИОМ,Семинар,2025-10-20,1.6,13,Морозов Д.Д.,ИИС-42,Менеджмент
ИУПСиБК,Семинар,2025-10-20,3.1,12,Иванов И.И.,ИИС-42,Финансы
ИЭФ,Семинар,2025-10-20,3.9,6,Павлова О.О.,ИОМ-13,Право
ИИС,Лабораторная,2025-10-20,3.5,17,Павлова О.О.,ИОМ-21,Математический анализ
ИИС,Лекция,2025-10-20,1.9,16,Соколов В.В.,ИЭФ-42,Базы данных
ИМ,Лекция,2025-10-20,2.3,8,Козлова Е.Е.,ИЗО-22,Базы данных
ИИС,Семинар,2025-10-20,3.5,5,Козлова Е.Е.,ИЭФ-43,Экономика
ИУПСиБК,Семинар,2025-10-20,3.6,8,Новикова М.М.,ИГУиП-43,Информационные системы
ИЭФ,Лекция,2025-10-20,3.8,18,Иванов И.И.,ИМ-13,Иностранный язык
ИГУиП,Семинар,2025-10-27,4.3,11,Козлова Е.Е.,ИУПСиБК-13,Программирование
ИЭФ,Лабораторная,2025-10-27,2.0,11,Соколов В.В.,ИЭФ-21,Web-технологии
ИОМ,Лабораторная,2025-10-27,3.9,19,Федоров И.И.,ИЗО-43,Иностранный язык
ИИС,Лекция,2025-10-27,3.9,15,Сидорова А.А.,ИЭФ-12,Философия
ИГУиП,Семинар,2025-10-27,3.0,14,Иванов И.И.,ИЗО-11,Информационные системы
ИИС,Семинар,2025-10-27,4.2,5,Козлова Е.Е.,ИЗО-22,Иностранный язык
ИИС,Лекция,2025-10-27,3.5,8,Новикова М.М.,ИЗО-12,Финансы
ИГУиП,Лабораторная,2025-10-27,3.9,15,Павлова О.О.,ИУПСиБК-13,Философия
ИИС,Семинар,2025-10-27,3.9,15,Волков А.А.,ИГУиП-41,Менеджмент
ИУПСиБК,Лабораторная,2025-10-27,3.2,12,Соколов В.В.,ИЗО-43,Бухгалтерский учет
ИУПСиБК,Лабораторная,2025-10-27,3.0,14,Козлова Е.Е.,ИЭФ-31,Дискретная математика
ИОМ,Семинар,2025-10-27,2.9,6,Петров П.П.,ИГУиП-12,Дискретная математика
ИМ,Семинар,2025-10-27,3.3,11,Новикова М.М.,ИГУиП-23,Web-технологии
ИГУиП,Лабораторная,2025-10-27,4.4,7,Сидорова А.А.,ИГУиП-43,Информационные системы
ИЗО,Лекция,2025-10-27,2.3,16,Новикова М.М.,ИГУиП-33,Операционные системы
ИИС,Семинар,2025-10-27,1.6,5,Павлова О.О.,ИГУиП-22,Операционные системы
ИОМ,Лекция,2025-10-27,3.9,10,Федоров И.И.,ИГУиП-32,Бухгалтерский учет
ИИС,Семинар,2025-10-27,3.6,10,Сидорова А.А.,ИМ-42,Математический анализ
ИМ,Лабораторная,2025-10-27,3.3,11,Козлова Е.Е.,ИУПСиБК-11,Математический анализ
ИОМ,Лабораторная,2025-10-27,4.4,9,Волков А.А.,ИМ-22,Менеджмент
ИИС,Лабораторная,2025-10-27,3.5,11,Павлова О.О.,ИЭФ-22,Менеджмент
ИМ,Лабораторная,2025-10-27,2.6,14,Волков А.А.,ИУПСиБК-41,Математический анализ
ИУПСиБК,Лабораторная,2025-10-27,3.1,8,Павлова О.О.,ИЭФ-33,Право
ИГУиП,Лабораторная,2025-10-27,1.9,18,Федоров И.И.,ИЭФ-43,Экономика
ИГУиП,Лабораторная,2025-10-27,4.2,5,Федоров И.И.,ИЭФ-31,Экономика
ИМ,Семинар,2025-10-27,2.5,11,Сидорова А.А.,ИИС-12,Информационные системы
ИУПСиБК,Лабораторная,2025-10-27,3.5,6,Иванов И.И.,ИОМ-13,Менеджмент
ИМ,Лекция,2025-10-27,1.6,7,Козлова Е.Е.,ИГУиП-23,Статистика
ИМ,Лабораторная,2025-10-27,1.5,7,Павлова О.О.,ИЗО-33,Информационные системы
ИОМ,Семинар,2025-10-27,3.1,8,Иванов И.И.,ИЗО-33,Web-технологии
ИЗО,Лабораторная,2025-11-03,1.9,18,Волков А.А.,ИЭФ-31,Бухгалтерский учет
ИИС,Лабораторная,2025-11-03,2.3,15,Федоров И.И.,ИЭФ-11,Программирование
ИЗО,Лабораторная,2025-11-03,2.7,18,Федоров И.И.,ИЗО-41,Математический анализ
ИОМ,Лекция,2025-11-03,3.4,16,Павлова О.О.,ИЗО-31,Статистика
ИИС,Лабораторная,2025-11-03,3.6,7,Козлова Е.Е.,ИЗО-33,Финансы
ИОМ,Лекция,2025-11-03,3.9,8,Морозов Д.Д.,ИУПСиБК-13,Web-технологии
ИЭФ,Лекция,2025-11-03,3.3,7,Федоров И.И.,ИМ-42,Право
ИУПСиБК,Лабораторная,2025-11-03,3.9,6,Сидорова А.А.,ИЭФ-33,Операционные системы
ИМ,Семинар,2025-11-03,3.1,11,Сидорова А.А.,ИИС-21,Статистика
ИОМ,Лабораторная,2025-11-03,2.6,8,Соколов В.В.,ИЭФ-13,Право
ИИС,Лекция,2025-11-03,2.4,9,Сидорова А.А.,ИМ-12,Право
ИГУиП,Лабораторная,2025-11-03,2.5,7,Морозов Д.Д.,ИИС-33,Web-технологии
ИМ,Семинар,2025-11-03,1.7,12,Соколов В.В.,ИГУиП-13,Алгоритмы
