institute,lesson_type,date,teacher_load,total_classes,teacher_name,group_name,discipline
ИИС,Лабораторная,2025-09-08,3.0,6,Федоров И.И.,ИЗО-33,Дискретная математика
ИМ,Лабораторная,2025-09-08,3.8,6,Сидорова А.А.,ИГУиП-32,Информационные системы
ИЗО,Лекция,2025-09-08,3.8,8,Сидорова А.А.,ИЗО-42,История
ИГУиП,Семинар,2025-09-08,1.9,8,Павлова О.О.,ИЗО-33,Менеджмент
ИЭФ,Лекция,2025-09-08,1.9,17,Иванов И.И.,ИЭФ-32,Иностранный язык
ИИС,Семинар,2025-09-08,2.2,12,Павлова О.О.,ИЭФ-11,Математический анализ
ИУПСиБК,Семинар,2025-09-08,2.2,18,Новикова М.М.,ИЭФ-43,Статистика
ИОМ,Семинар,2025-09-08,2.1,9,Сидорова А.А.,ИУПСиБК-23,Компьютерные сети
ИЭФ,Семинар,2025-09-08,3.3,9,Морозов Д.Д.,ИИС-32,Дискретная математика
ИЗО,Лекция,2025-09-08,3.2,17,Козлова Е.Е.,ИМ-23,Бухгалтерский учет
ИМ,Лекция,2025-09-08,2.1,6,Сидорова А.А.,ИМ-32,Математический анализ
ИИС,Лекция,2025-09-08,2.5,16,Козлова Е.Е.,ИЗО-42,Менеджмент
ИОМ,Семинар,2025-09-08,3.2,14,Петров П.П.,ИГУиП-21,Финансы
ИЭФ,Лекция,2025-09-08,2.1,8,Сидорова А.А.,ИМ-21,Операционные системы
ИМ,Лабораторная,2025-09-08,3.4,11,Петров П.П.,ИЭФ-32,Иностранный язык
ИЗО,Лабораторная,2025-09-08,2.1,10,Новикова М.М.,ИМ-31,Операционные системы
ИИС,Лекция,2025-09-08,1.6,11,Морозов Д.Д.,ИОМ-41,Операционные системы
ИЭФ,Семинар,2025-09-08,4.4,6,Сидорова А.А.,ИИС-33,Математический анализ
ИМ,Лабораторная,2025-09-15,1.9,8,Волков А.А.,ИЭФ-42,Статистика
ИЗО,Лекция,2025-09-15,2.1,10,Морозов Д.Д.,ИОМ-33,Дискретная математика
ИМ,Лекция,2025-09-15,3.9,18,Федоров И.И.,ИЗО-43,Компьютерные сети
ИОМ,Семинар,2025-09-15,1.6,11,Федоров И.И.,ИУПСиБК-23,Алгоритмы
ИИС,Лекция,2025-09-15,3.4,16,Новикова М.М.,ИИС-13,Иностранный язык
ИИС,Лабораторная,2025-09-15,3.0,7,Морозов Д.Д.,ИГУиП-43,Философия
ИИС,Лекция,2025-09-15,2.9,7,Новикова М.М.,ИЗО-23,Бухгалтерский учет
ИЗО,Семинар,2025-09-15,2.4,6,Петров П.П.,ИИС-41,Операционные системы
ИГУиП,Семинар,2025-09-15,4.4,17,Петров П.П.,ИМ-42,Операционные системы
ИОМ,Лекция,2025-09-15,1.6,14,Соколов В.В.,ИЭФ-41,Экономика
ИИС,Семинар,2025-09-15,4.2,8,Павлова О.О.,ИУПСиБК-21,История
ИЭФ,Лабораторная,2025-09-15,4.0,17,Иванов И.И.,ИМ-22,Программирование
ИУПСиБК,Семинар,2025-09-15,3.2,12,Петров П.П.,ИОМ-31,История
ИУПСиБК,Семинар,2025-09-15,3.7,19,Козлова Е.Е.,ИМ-23,Операционные системы
ИЭФ,Лабораторная,2025-09-15,2.4,17,Волков А.А.,ИГУиП-33,Философия
ИЗО,Лабораторная,2025-09-15,3.6,16,Петров П.П.,ИОМ-43,Иностранный язык
ИМ,Лабораторная,2025-09-15,4.0,9,Иванов И.И.,ИГУиП-22,Математический анализ
ИУПСиБК,Лабораторная,2025-09-15,1.5,15,Морозов Д.Д.,ИЗО-11,Иностранный язык
ИЗО,Лекция,2025-09-15,2.5,13,Иванов И.И.,ИЗО-23,Менеджмент
ИИС,Лабораторная,2025-09-15,2.5,17,Сидорова А.А.,ИЗО-43,Иностранный язык
ИГУиП,Лабораторная,2025-09-15,1.9,15,Сидорова А.А.,ИМ-21,Математический анализ
ИЭФ,Семинар,2025-09-15,3.4,19,Сидорова А.А.,ИМ-43,Операционные системы
ИГУиП,Лекция,2025-09-15,4.5,7,Волков А.А.,ИОМ-22,Менеджмент
ИОМ,Лабораторная,2025-09-15,3.8,15,Иванов И.И.,ИИС-12,История
ИУПСиБК,Лабораторная,2025-09-15,3.4,13,Павлова О.О.,ИУПСиБК-13,Финансы
ИИС,Лабораторная,2025-09-15,2.8,7,Новикова М.М.,ИЭФ-42,Алгоритмы
ИГУиП,Лекция,2025-09-15,1.8,12,Иванов И.И.,ИГУиП-21,Бухгалтерский учет
ИУПСиБК,Лабораторная,2025-09-15,4.0,15,Соколов В.В.,ИУПСиБК-12,Операционные системы
ИЗО,Семинар,2025-09-15,2.5,13,Морозов Д.Д.,ИМ-32,Операционные системы
ИИС,Семинар,2025-09-15,3.2,6,Федоров И.И.,ИИС-13,Алгоритмы
ИОМ,Семинар,2025-09-22,1.7,11,Козлова Е.Е.,ИГУиП-32,Бухгалтерский учет
ИГУиП,Лекция,2025-09-22,3.3,9,Козлова Е.Е.,ИУПСиБК-23,История
ИИС,Семинар,2025-09-22,2.5,6,Петров П.П.,ИЭФ-32,Философия
ИОМ,Лабораторная,2025-09-22,3.2,9,Иванов И.И.,ИЭФ-43,Финансы
ИМ,Семинар,2025-09-22,3.1,15,Павлова О.О.,ИОМ-13,Статистика
ИГУиП,Семинар,2025-09-22,2.7,19,Волков А.А.,ИОМ-42,Web-технологии
ИГУиП,Лекция,2025-09-22,3.1,15,Павлова О.О.,ИИС-41,Программирование
ИГУиП,Лабораторная,2025-09-22,3.2,14,Волков А.А.,ИГУиП-11,Статистика
ИИС,Лабораторная,2025-09-22,3.7,19,Соколов В.В.,ИОМ-21,Право
ИЗО,Лекция,2025-09-22,2.4,10,Волков А.А.,ИМ-33,Программирование
ИГУиП,Семинар,2025-09-22,2.3,13,Сидорова А.А.,ИИС-31,Бухгалтерский учет
ИУПСиБК,Лабораторная,2025-09-22,3.0,10,Петров П.П.,ИЭФ-11,Дискретная математика
ИИС,Семинар,2025-09-22,4.1,13,Сидорова А.А.,ИМ-41,Иностранный язык
ИМ,Лабораторная,2025-09-22,2.7,19,Иванов И.И.,ИМ-22,Компьютерные сети
ИМ,Лекция,2025-09-22,2.6,6,Новикова М.М.,ИМ-11,Бухгалтерский учет
ИОМ,Лекция,2025-09-22,4.0,10,Павлова О.О.,ИМ-42,Web-технологии
ИМ,Лекция,2025-09-22,1.8,16,Волков А.А.,ИУПСиБК-12,История
ИЗО,Лабораторная,2025-09-22,4.0,5,Волков А.А.,ИОМ-32,Менеджмент
ИГУиП,Лабораторная,2025-09-22,2.4,17,Петров П.П.,ИГУиП-42,Бухгалтерский учет
ИГУиП,Лекция,2025-09-22,3.6,9,Соколов В.В.,ИГУиП-32,Бухгалтерский учет
ИМ,Семинар,2025-09-22,2.1,5,Новикова М.М.,ИМ-41,Статистика
ИЗО,Лабораторная,2025-09-22,4.3,8,Козлова Е.Е.,ИЭФ-11,Базы данных
ИЗО,Лекция,2025-09-22,4.3,13,Петров П.П.,ИГУиП-31,Web-технологии
ИМ,Семинар,2025-09-22,3.6,9,Козлова Е.Е.,ИГУиП-13,Менеджмент
ИМ,Лекция,2025-09-22,3.0,17,Новикова М.М.,ИЭФ-42,Иностранный язык
ИУПСиБК,Лабораторная,2025-09-22,3.4,19,Волков А.А.,ИИС-12,Статистика
ИЭФ,Семинар,2025-09-22,3.6,14,Соколов В.В.,ИУПСиБК-42,История
ИЭФ,Семинар,2025-09-22,2.3,18,Сидорова А.А.,ИЗО-23,Финансы
ИГУиП,Лабораторная,2025-09-22,1.6,7,Павлова О.О.,ИОМ-13,Финансы
ИМ,Семинар,2025-09-22,4.4,8,Федоров И.И.,ИГУиП-21,Иностранный язык
ИЭФ,Лабораторная,2025-09-29,3.6,16,Петров П.П.,ИЭФ-43,Математический анализ
ИЗО,Лекция,2025-09-29,4.0,9,Федоров И.И.,ИОМ-33,Web-технологии
ИИС,Семинар,2025-09-29,3.0,12,Иванов И.И.,ИМ-43,Web-технологии
ИИС,Лекция,2025-09-29,2.0,10,Иванов И.И.,ИЗО-32,Алгоритмы
ИМ,Лекция,2025-09-29,2.0,14,Новикова М.М.,ИЭФ-43,Право
ИИС,Семинар,2025-09-29,4.0,14,Петров П.П.,ИЭФ-23,Иностранный язык
ИОМ,Лабораторная,2025-09-29,2.1,13,Соколов В.В.,ИГУиП-11,Менеджмент
ИОМ,Лабораторная,2025-09-29,3.7,5,Сидорова А.А.,ИОМ-22,Операционные системы
ИЗО,Лекция,2025-09-29,1.8,7,Федоров И.И.,ИУПСиБК-41,Алгоритмы
ИМ,Лабораторная,2025-09-29,3.3,17,Соколов В.В.,ИМ-22,Алгоритмы
ИГУиП,Семинар,2025-09-29,2.0,13,Новикова М.М.,ИЭФ-41,Математический анализ
ИОМ,Лекция,2025-09-29,3.7,6,Иванов И.И.,ИМ-33,Философия
ИМ,Семинар,2025-09-29,3.7,19,Соколов В.В.,ИМ-32,Операционные системы
ИЗО,Лабораторная,2025-09-29,3.0,15,Павлова О.О.,ИМ-32,Иностранный язык
ИИС,Семинар,2025-09-29,3.1,5,Соколов В.В.,ИУПСиБК-23,Программирование
ИГУиП,Лекция,2025-09-29,2.0,15,Морозов Д.Д.,ИЭФ-23,Информационные системы
ИГУиП,Семинар,2025-09-29,3.6,9,Павлова О.О.,ИГУиП-23,Иностранный язык
ИОМ,Лекция,2025-09-29,3.9,13,Соколов В.В.,ИЗО-31,Web-технологии
ИИС,Лабораторная,2025-09-29,4.0,18,Павлова О.О.,ИЭФ-43,Финансы
ИЗО,Лекция,2025-09-29,4.4,6,Морозов Д.Д.,ИИС-43,Web-технологии
ИОМ,Семинар,2025-09-29,2.7,14,Козлова Е.Е.,ИИС-23,Математический анализ
ИГУиП,Лекция,2025-09-29,4.1,13,Козлова Е.Е.,ИМ-11,Алгоритмы
ИОМ,Семинар,2025-09-29,2.6,17,Козлова Е.Е.,ИЭФ-22,Философия
ИЗО,Семинар,2025-09-29,1.6,10,Федоров И.И.,ИОМ-33,Философия
ИЭФ,Лабораторная,2025-09-29,2.6,18,Сидорова А.А.,ИУПСиБК-13,Математический анализ
ИГУиП,Семинар,2025-09-29,3.1,13,Петров П.П.,ИЗО-42,Математический анализ
ИМ,Семинар,2025-09-29,2.9,14,Федоров И.И.,ИЭФ-11,Программирование
ИЭФ,Лабораторная,2025-09-29,1.8,19,Волков А.А.,ИЗО-23,Компьютерные сети
ИМ,Лабораторная,2025-09-29,1.9,19,Морозов Д.Д.,ИИС-42,Бухгалтерский учет
ИЗО,Лабораторная,2025-09-29,3.1,16,Козлова Е.Е.,ИМ-32,Менеджмент
ИМ,Лекция,2025-10-06,4.5,15,Волков А.А.,ИМ-43,Информационные системы
ИМ,Лекция,2025-10-06,4.4,14,Сидорова А.А.,ИИС-43,Финансы
ИМ,Лекция,2025-10-06,2.3,11,Федоров И.И.,ИГУиП-32,Менеджмент
ИУПСиБК,Лекция,2025-10-06,3.7,7,Козлова Е.Е.,ИЗО-13,Экономика
ИИС,Семинар,2025-10-06,2.4,19,Сидорова А.А.,ИЗО-13,Компьютерные сети
ИУПСиБК,Лекция,2025-10-06,2.2,7,Морозов Д.Д.,ИИС-13,Математический анализ
ИОМ,Лабораторная,2025-10-06,3.9,17,Волков А.А.,ИУПСиБК-21,Дискретная математика
ИЭФ,Лекция,2025-10-06,1.7,18,Петров П.П.,ИГУиП-31,Менеджмент
ИГУиП,Лекция,2025-10-06,3.7,5,Иванов И.И.,ИЗО-32,Математический анализ
ИЭФ,Семинар,2025-10-06,1.9,18,Соколов В.В.,ИУПСиБК-33,Философия
ИИС,Лекция,2025-10-06,2.9,10,Соколов В.В.,ИГУиП-41,Компьютерные сети
ИГУиП,Лабораторная,2025-10-06,1.7,15,Волков А.А.,ИОМ-43,Финансы
ИОМ,Семинар,2025-10-06,2.8,9,Петров П.П.,ИОМ-31,Менеджмент
ИМ,Лекция,2025-10-06,2.0,14,Волков А.А.,ИОМ-23,Финансы
ИМ,Лекция,2025-10-06,2.9,17,Волков А.А.,ИОМ-11,Математический анализ
ИЭФ,Лекция,2025-10-06,3.2,7,Павлова О.О.,ИГУиП-42,Менеджмент
ИЭФ,Лекция,2025-10-06,4.3,9,Морозов Д.Д.,ИЗО-42,Бухгалтерский учет
ИЭФ,Лекция,2025-10-06,4.5,15,Федоров И.И.,ИИС-43,История
ИУПСиБК,Лабораторная,2025-10-06,2.1,5,Козлова Е.Е.,ИГУиП-43,Иностранный язык
ИИС,Лабораторная,2025-10-06,2.8,18,Новикова М.М.,ИГУиП-41,Web-технологии
ИИС,Лабораторная,2025-10-06,4.1,8,Новикова М.М.,ИЭФ-23,Базы данных
ИГУиП,Семинар,2025-10-06,3.8,9,Волков А.А.,ИОМ-43,Бухгалтерский учет
ИИС,Лекция,2025-10-06,4.1,12,Сидорова А.А.,ИОМ-43,Иностранный язык
ИМ,Лекция,2025-10-06,3.5,11,Волков А.А.,ИОМ-43,Программирование
ИОМ,Лекция,2025-10-06,2.6,14,Козлова Е.Е.,ИУПСиБК-12,Web-технологии
ИИС,Лекция,2025-10-06,3.2,9,Козлова Е.Е.,ИОМ-22,Философия
ИЗО,Лекция,2025-10-06,3.7,5,Сидорова А.А.,ИОМ-12,Информационные системы
ИИС,Лекция,2025-10-06,1.9,17,Иванов И.И.,ИГУиП-12,Информационные системы
ИЗО,Лекция,2025-10-06,1.6,10,Козлова Е.Е.,ИЗО-31,Базы данных
ИЭФ,Лекция,2025-10-06,1.6,16,Павлова О.О.,ИУПСиБК-23,Экономика
ИУПСиБК,Лекция,2025-10-13,2.0,16,Козлова Е.Е.,ИУПСиБК-42,Бухгалтерский учет
ИЭФ,Лабораторная,2025-10-13,2.4,16,Морозов Д.Д.,ИГУиП-22,Экономика
ИОМ,Семинар,2025-10-13,2.1,17,Волков А.А.,ИГУиП-31,Экономика
ИУПСиБК,Семинар,2025-10-13,3.9,6,Волков А.А.,ИЗО-22,Иностранный язык
ИМ,Лекция,2025-10-13,3.5,5,Петров П.П.,ИМ-13,Дискретная математика
ИЗО,Лабораторная,2025-10-13,3.9,19,Волков А.А.,ИЗО-22,Право
ИЭФ,Лекция,2025-10-13,3.7,8,Федоров И.И.,ИЗО-31,Информационные системы
ИГУиП,Семинар,2025-10-13,2.0,19,Волков А.А.,ИИС-22,Иностранный язык
ИОМ,Лабораторная,2025-10-13,3.5,14,Волков А.А.,ИГУиП-22,Web-технологии
ИМ,Семинар,2025-10-13,3.6,6,Новикова М.М.,ИИС-13,Право
ИОМ,Семинар,2025-10-13,4.3,10,Павлова О.О.,ИГУиП-11,Бухгалтерский учет
ИОМ,Лекция,2025-10-13,3.7,19,Козлова Е.Е.,ИИС-31,Программирование
ИМ,Лабораторная,2025-10-13,3.5,17,Волков А.А.,ИЭФ-12,Алгоритмы
ИЭФ,Лекция,2025-10-13,2.8,11,Иванов И.И.,ИУПСиБК-41,Компьютерные сети
ИЭФ,Лабораторная,2025-10-13,2.3,19,Федоров И.И.,ИМ-13,История
ИЗО,Лабораторная,2025-10-13,1.8,12,Федоров И.И.,ИМ-21,Иностранный язык
ИИС,Лекция,2025-10-13,2.1,8,Сидорова А.А.,ИМ-22,История
ИУПСиБК,Семинар,2025-10-13,2.3,7,Козлова Е.Е.,ИОМ-23,Экономика
ИЗО,Лабораторная,2025-10-13,2.9,18,Федоров И.И.,ИГУиП-32,Философия
ИОМ,Лабораторная,2025-10-13,3.0,13,Новикова М.М.,ИЭФ-13,Экономика
ИУПСиБК,Семинар,2025-10-13,2.3,16,Петров П.П.,ИГУиП-22,Программирование
ИМ,Лабораторная,2025-10-13,4.4,16,Петров П.П.,ИИС-41,Право
ИУПСиБК,Семинар,2025-10-13,2.8,5,Павлова О.О.,ИИС-31,История
ИЗО,Семинар,2025-10-13,2.7,13,Федоров И.И.,ИЗО-11,Web-технологии
ИИС,Лабораторная,2025-10-13,2.0,8,Федоров И.И.,ИМ-11,Web-технологии
ИЗО,Лекция,2025-10-13,2.2,10,Козлова Е.Е.,ИЭФ-22,Web-технологии
ИМ,Семинар,2025-10-13,3.9,11,Павлова О.О.,ИУПСиБК-21,Финансы
ИОМ,Семинар,2025-10-13,2.2,14,Сидорова А.А.,ИГУиП-42,История
ИЭФ,Лекция,2025-10-13,2.2,12,Петров П.П.,ИИС-43,Дискретная математика
ИГУиП,Семинар,2025-10-13,2.6,17,Новикова М.М.,ИМ-33,Философия
ИЭФ,Лабораторная,2025-10-20,2.7,9,Волков А.А.,ИОМ-11,Web-технологии
ИЭФ,Лабораторная,2025-10-20,3.1,14,Сидорова А.А.,ИИС-12,Экономика
ИИС,Лекция,2025-10-20,4.3,12,Федоров И.И.,ИОМ-31,Программирование
ИЗО,Лекция,2025-10-20,4.2,12,Соколов В.В.,ИЭФ-43,Алгоритмы
ИИС,Семинар,2025-10-20,2.8,7,Новикова М.М.,ИЗО-22,Алгоритмы
ИЭФ,Лабораторная,2025-10-20,2.2,9,Петров П.П.,ИУПСиБК-23,Бухгалтерский учет
ИЗО,Семинар,2025-10-20,2.1,15,Петров П.П.,ИЭФ-41,Web-технологии
ИУПСиБК,Лекция,2025-10-20,2.5,7,Новикова М.М.,ИГУиП-21,Иностранный язык
ИЭФ,Семинар,2025-10-20,2.2,14,Морозов Д.Д.,ИЗО-23,Компьютерные сети
ИЗО,Лабораторная,2025-10-20,3.7,14,Павлова О.О.,ИМ-23,Программирование
ИИС,Лекция,2025-10-20,1.7,17,Павлова О.О.,ИЗО-31,Компьютерные сети
ИОМ,Лекция,2025-10-20,4.2,18,Морозов Д.Д.,ИОМ-32,Математический анализ
ИМ,Лекция,2025-10-20,1.6,5,Петров П.П.,ИУПСиБК-32,Базы данных
ИЭФ,Лекция,2025-10-20,3.9,8,Козлова Е.Е.,ИЗО-33,Финансы
ИЗО,Лекция,2025-10-20,1.8,12,Петров П.П.,ИГУиП-43,Статистика
ИИС,Лабораторная,2025-10-20,4.2,15,Морозов Д.Д.,ИЗО-42,Web-технологии
ИГУиП,Лабораторная,2025-10-20,4.0,19,Козлова Е.Е.,ИМ-23,Бухгалтерский учет
ИУПСиБК,Лекция,2025-10-20,2.0,10,Сидорова А.А.,ИОМ-23,Базы данных
ИЗО,Семинар,2025-10-20,3.2,17,Павлова О.О.,ИГУиП-11,Дискретная математика
ИУПСиБК,Семинар,2025-10-20,2.7,10,Иванов И.И.,ИУПСиБК-13,Программирование
ИЗО,Лекция,2025-10-20,3.2,6,Федоров И.И.,ИМ-33,Базы данных
ИОМ,Лекция,2025-10-20,4.2,18,Волков А.А.,ИОМ-41,Бухгалтерский учет
ИУПСиБК,Лекция,2025-10-20,1.8,9,Сидорова А.А.,ИГУиП-13,Web-технологии
ИМ,Семинар,2025-10-20,2.7,12,Соколов В.В.,ИУПСиБК-13,Математический анализ
ИЗО,Лекция,2025-10-20,1.5,18,Петров П.П.,ИУПСиБК-33,История
ИГУиП,Лабораторная,2025-10-20,4.3,13,Иванов И.И.,ИЭФ-13,Операционные системы
ИУПСиБК,Семинар,2025-10-20,2.0,15,Волков А.А.,ИУПСиБК-43,Право
ИИС,Семинар,2025-10-20,4.5,12,Иванов И.И.,ИМ-33,Программирование
ИУПСиБК,Лекция,2025-10-20,3.7,13,Соколов В.В.,ИИС-33,Математический анализ
ИИС,Семинар,2025-10-20,4.1,16,Павлова О.О.,ИГУиП-21,Бухгалтерский учет
ИЭФ,Лабораторная,2025-10-27,1.7,19,Петров П.П.,ИОМ-23,Программирование
ИМ,Лекция,2025-10-27,4.3,5,Павлова О.О.,ИЭФ-41,Право
ИГУиП,Лекция,2025-10-27,3.8,8,Волков А.А.,ИМ-33,Математический анализ
ИИС,Лекция,2025-10-27,1.7,9,Новикова М.М.,ИГУиП-32,Программирование
ИИС,Лекция,2025-10-27,2.5,14,Волков А.А.,ИЗО-31,Компьютерные сети
ИГУиП,Лабораторная,2025-10-27,4.4,18,Павлова О.О.,ИОМ-31,Финансы
ИОМ,Лабораторная,2025-10-27,2.7,15,Волков А.А.,ИЭФ-42,Программирование
ИМ,Лабораторная,2025-10-27,2.9,7,Волков А.А.,ИГУиП-31,Информационные системы
ИЗО,Семинар,2025-10-27,1.9,11,Волков А.А.,ИОМ-12,Математический анализ
ИУПСиБК,Лабораторная,2025-10-27,4.2,13,Иванов И.И.,ИИС-41,Операционные системы
ИОМ,Лабораторная,2025-10-27,3.3,18,Волков А.А.,ИЭФ-31,Бухгалтерский учет
ИУПСиБК,Лекция,2025-10-27,4.2,11,Новикова М.М.,ИЭФ-31,Статистика
ИЭФ,Семинар,2025-10-27,3.9,7,Волков А.А.,ИЗО-22,Экономика
ИЭФ,Лабораторная,2025-10-27,2.8,6,Морозов Д.Д.,ИЭФ-12,Бухгалтерский учет
ИОМ,Семинар,2025-10-27,2.2,11,Павлова О.О.,ИМ-31,Алгоритмы
ИИС,Семинар,2025-10-27,2.4,9,Павлова О.О.,ИОМ-11,Иностранный язык
ИЗО,Семинар,2025-10-27,1.6,18,Соколов В.В.,ИМ-23,Базы данных
ИЭФ,Семинар,2025-10-27,4.0,9,Морозов Д.Д.,ИЗО-41,История
ИИС,Лабораторная,2025-10-27,2.9,7,Морозов Д.Д.,ИЭФ-43,Компьютерные сети
ИМ,Лекция,2025-10-27,4.5,19,Петров П.П.,ИГУиП-43,Статистика
ИЗО,Лекция,2025-10-27,3.3,15,Иванов И.И.,ИЭФ-33,Дискретная математика
ИЗО,Семинар,2025-10-27,3.0,11,Новикова М.М.,ИГУиП-31,Дискретная математика
ИГУиП,Семинар,2025-10-27,2.7,15,Соколов В.В.,ИОМ-32,Дискретная математика
ИМ,Лекция,2025-10-27,3.0,10,Федоров И.И.,ИЭФ-12,Менеджмент
ИИС,Лабораторная,2025-10-27,3.1,16,Соколов В.В.,ИУПСиБК-23,Менеджмент
ИГУиП,Лабораторная,2025-10-27,1.6,15,Новикова М.М.,ИГУиП-23,Бухгалтерский учет
ИЗО,Лабораторная,2025-10-27,2.3,13,Волков А.А.,ИГУиП-13,Web-технологии
ИМ,Лекция,2025-10-27,4.0,16,Волков А.А.,ИГУиП-21,Операционные системы
ИГУиП,Семинар,2025-10-27,3.9,16,Волков А.А.,ИЗО-41,Менеджмент
ИГУиП,Лабораторная,2025-10-27,3.5,10,Петров П.П.,ИЗО-41,Математический анализ
ИЭФ,Лекция,2025-11-03,4.3,15,Новикова М.М.,ИМ-22,Web-технологии
ИЭФ,Лекция,2025-11-03,2.3,9,Новикова М.М.,ИЭФ-23,История
ИУПСиБК,Лекция,2025-11-03,2.5,9,Сидорова А.А.,ИОМ-21,Менеджмент
ИМ,Лабораторная,2025-11-03,4.0,9,Козлова Е.Е.,ИУПСиБК-22,Финансы
ИУПСиБК,Лекция,2025-11-03,2.0,13,Сидорова А.А.,ИЭФ-12,Бухгалтерский учет
ИОМ,Семинар,2025-11-03,1.6,16,Соколов В.В.,ИОМ-11,Философия
ИОМ,Лабораторная,2025-11-03,2.1,11,Козлова Е.Е.,ИЗО-22,Компьютерные сети
ИИС,Семинар,2025-11-03,2.2,11,Новикова М.М.,ИЭФ-32,Статистика
ИУПСиБК,Семинар,2025-11-03,3.8,6,Павлова О.О.,ИГУиП-12,Web-технологии
ИОМ,Лекция,2025-11-03,3.0,5,Сидорова А.А.,ИУПСиБК-43,Алгоритмы
ИИС,Лабораторная,2025-11-03,2.0,13,Морозов Д.Д.,ИМ-42,Web-технологии
ИЭФ,Лабораторная,2025-11-03,1.6,12,Волков А.А.,ИЗО-23,Право
ИГУиП,Лабораторная,2025-11-03,2.0,16,Федоров И.И.,ИЗО-11,Философия
ИОМ,Лабораторная,2025-11-03,4.1,6,Волков А.А.,ИГУиП-42,Финансы
